Time,Total Time,Instances,Avg,Med,Min,Max,StdDev,Name
0.00%,75.794 ms,13024,5.819 μs,5.696 μs,5.440 μs,6.432 μs,241 ns,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)1, (bool)1>(flash::Flash_fwd_params)"
0.00%,71.940 ms,160,449.626 μs,409.309 μs,305.726 μs,713.245 μs,151.816 μs,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
0.00%,48.141 ms,3251,14.808 μs,14.816 μs,13.984 μs,19.359 μs,305 ns,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.00%,39.605 ms,4576,8.655 μs,8.512 μs,8.160 μs,10.912 μs,393 ns,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.00%,22.887 ms,4183,5.471 μs,5.216 μs,4.768 μs,243.903 μs,7.822 μs,"void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, long, const T1 *, float, int, int)"
0.00%,22.580 ms,160,141.127 μs,111.199 μs,11.584 μs,310.559 μs,101.143 μs,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.00%,20.291 ms,4171,4.864 μs,3.840 μs,3.520 μs,16.031 μs,1.710 μs,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.00%,14.783 ms,128,115.493 μs,115.488 μs,114.624 μs,117.216 μs,415 ns,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.00%,13.866 ms,2344,5.915 μs,5.920 μs,5.504 μs,7.744 μs,159 ns,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.00%,9.630 ms,1408,6.839 μs,6.816 μs,6.560 μs,8.352 μs,118 ns,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.00%,8.759 ms,128,68.431 μs,68.320 μs,67.264 μs,70.336 μs,589 ns,ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_64x4_tn
