Time,Total Time,Instances,Avg,Med,Min,Max,StdDev,Name
0.00%,94.645 ms,192,492.941 μs,509.455 μs,306.016 μs,712.288 μs,122.712 μs,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
0.00%,78.287 ms,412,190.016 μs,189.951 μs,188.415 μs,197.823 μs,845 ns,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
0.00%,72.281 ms,12096,5.975 μs,6.048 μs,5.504 μs,6.624 μs,196 ns,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)1, (bool)1>(flash::Flash_fwd_params)"
0.00%,35.305 ms,2375,14.865 μs,14.848 μs,14.016 μs,19.552 μs,311 ns,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.00%,31.245 ms,3648,8.564 μs,8.480 μs,8.224 μs,10.880 μs,435 ns,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.00%,24.502 ms,3136,7.813 μs,7.808 μs,7.296 μs,8.384 μs,182 ns,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(flash::Flash_fwd_params)"
0.00%,23.222 ms,4251,5.462 μs,5.216 μs,4.767 μs,245.087 μs,7.687 μs,"void vllm::rms_norm_kernel<c10::BFloat16>(T1 *, const T1 *, long, const T1 *, float, int, int)"
0.00%,23.073 ms,160,144.207 μs,138.175 μs,11.776 μs,245.855 μs,77.148 μs,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.00%,21.127 ms,4239,4.983 μs,3.872 μs,3.520 μs,16.191 μs,1.781 μs,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.00%,14.807 ms,128,115.677 μs,115.599 μs,114.656 μs,117.759 μs,569 ns,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
